# number	 instances	 feasibility	 total allocation	 generated patterns	 execution time
1	 3	 1	 2	 3	 1940
2	 5	 1	 14	 16	 26588
3	 5	 1	 26	 30	 34626
4	 5	 1	 2	 5	 3436
5	 5	 1	 6	 8	 5581
6	 10	 1	 19	 24	 79711
7	 10	 1	 35	 43	 568862
